cad2ag1	41323147	41323109	41323140	41171130		
cad2ag2	41323107	41323142	41323145	41323148	41323150	41136123
cad2ag3	41123218	41123150	41123146	41123213	41123247	
cad2ag4	41323104	41323101	41323102	41323103	41323105	41323128
cad2ag5	41323118	41323108	41323130	41323120	41323110	41323129
cad2ag6	41323122	41323121	41323139	41323143	41323135	41323137
cad2ag7	41323117	41323124	41323113	41323116	41323125	41123153
cad2ag8	41323216	41323112	41323114	41323115	41323141	41323146
cad2ag9	41323152	41323153	41323149	41371128	41271124	41323127
cad2ag10	41023235	41323136	41223144	41323144		
